from,to,vol
A01,A05,25
A01,B24,25
A01,C22,25
A01,E15,25
A02,A17,25
A02,C12,25
A02,J08,25
A02,J12,25
A02,J24,25
A02,M04,25
A03,A03,25
A03,B03,25
A03,B13,25
A03,E18,25
A03,F23,25
A03,O12,25
A04,H08,25
A04,H21,25
A04,I05,25
A04,I12,25
A04,I19,25
A05,D16,25
A05,E16,25
A05,J21,25
A05,M07,25
A05,M18,25
A05,P05,25
A06,A20,25
A06,B04,25
A06,H09,25
A06,I16,25
A07,F06,25
A07,H15,25
A07,K15,25
A07,K23,25
A07,N23,25
A07,O06,25
B01,C16,25
B01,D20,25
B01,L10,25
B01,M24,25
B01,O08,25
B02,D23,25
B02,H14,25
B02,I18,25
B02,M16,25
B02,O03,25
B03,F04,25
B03,G07,25
B03,G19,25
B03,J23,25
B03,O11,25
B04,C17,25
B04,D19,25
B04,G11,25
B04,O01,25
B04,P07,25
B04,P15,25
B05,A10,25
B05,E04,25
B05,H04,25
B05,P10,25
B05,P18,25
B06,D02,25
B06,D18,25
B06,G09,25
B06,J15,25
B07,A13,25
B07,B17,25
B07,F05,25
B07,K22,25
B07,O04,25
B07,P13,25
C01,A02,25
C01,G10,25
C01,I22,25
C01,L06,25
C01,L16,25
C01,P17,25
C02,E02,25
C02,G15,25
C02,H23,25
C02,K17,25
C02,L11,25
C02,N01,25
C03,B05,25
C03,I07,25
C03,I10,25
C03,K18,25
C03,L15,25
C04,E07,25
C04,E17,25
C04,G14,25
C04,N08,25
C04,P11,25
C04,P24,25
C05,A19,25
C05,B23,25
C05,H07,25
C05,H12,25
C05,K02,25
C05,O13,25
C06,C06,25
C06,E11,25
C06,H03,25
C06,H18,25
C06,I17,25
C06,J09,25
C07,C02,25
C07,C10,25
C07,G22,25
C07,J10,25
C07,J22,25
C07,P04,25
D01,D13,25
D01,E09,25
D01,J04,25
D01,L23,25
D01,O07,25
D01,O20,25
D02,A11,25
D02,F02,25
D02,G08,25
D02,H22,25
D02,M21,25
D02,N16,25
D03,D01,25
D03,D17,25
D03,F10,25
D03,I23,25
D03,K08,25
D03,M12,25
D04,E06,25
D04,F09,25
D04,M11,25
D04,M20,25
D04,N22,25
D05,B20,25
D05,D07,25
D05,F13,25
D05,I13,25
D05,M17,25
D06,E22,25
D06,J06,25
D06,K10,25
D06,M01,25
D06,N13,25
D07,C01,25
D07,D15,25
D07,H24,25
D07,L03,25
D07,M23,25
D07,O14,25
E01,C13,25
E01,E21,25
E01,F12,25
E01,G03,25
E01,L01,25
E01,N24,25
E02,B01,25
E02,B16,25
E02,C11,25
E02,K19,25
E02,N18,25
E02,O05,25
E03,B02,25
E03,G23,25
E03,I01,25
E03,L12,25
E03,M13,25
E03,P21,25
E04,B09,25
E04,E14,25
E04,H05,25
E04,K21,25
E04,L17,25
E04,M05,25
E05,C07,25
E05,G12,25
E05,G17,25
E05,J16,25
E05,L07,25
E05,L21,25
E06,B22,25
E06,G21,25
E06,I08,25
E06,J11,25
E06,N06,25
E07,A23,25
E07,B15,25
E07,G13,25
E07,J01,25
E07,L20,25
F01,C05,25
F01,C14,25
F01,J07,25
F01,N09,25
F01,P19,25
F02,A01,25
F02,G24,25
F02,L19,25
F02,N02,25
F02,P14,25
F03,A21,25
F03,B12,25
F03,C09,25
F03,E03,25
F03,J02,25
F03,J18,25
F04,A14,25
F04,F22,25
F04,G04,25
F04,L02,25
F04,N10,25
F04,O18,25
F05,J17,25
F05,M08,25
F05,M15,25
F05,M22,25
F05,P03,25
F06,B07,25
F06,B14,25
F06,C08,25
F06,I20,25
F06,L22,25
F06,O09,25
F07,D12,25
F07,F21,25
F07,I03,25
F07,M19,25
G01,A08,25
G01,C18,25
G01,D06,25
G01,H11,25
